suburb,council,region,postcode,latitude,longitude
Carlton,City of Melbourne,Inner City,3053,-37.8004228,144.9684343
Docklands,City of Melbourne,Inner City,3008,-37.8175423,144.9394923
Flemington,City of Melbourne,Inner City,3031,-37.7867587,144.9193668
Kensington,City of Melbourne,Inner City,3031,-37.7939378,144.9305645
North Melbourne,City of Melbourne,Inner City,3003,-37.8076092,144.9423514
Parkville,City of Melbourne,Inner City,3052,-37.7871148,144.9515533
Albert Park,City of Port Phillip,Inner City,3206,-37.8452062,144.9571050
Balaclava,City of Port Phillip,Inner City,3183,-37.8695430,144.9934871
Elwood,City of Port Phillip,Inner City,3184,-37.8788568,144.9855487
St Kilda,City of Port Phillip,Inner City,3182,-37.8638261,144.9816370
South Melbourne,City of Port Phillip,Inner City,3205,-37.8334400,144.9570533
Abbotsford,City of Yarra,Inner City,3067,-37.8045508,144.9988542
Collingwood,City of Yarra,Inner City,3066,-37.8021040,144.9881387
Fitzroy,City of Yarra,Inner City,3065,-37.8010382,144.9792611
Richmond,City of Yarra,Inner City,3121,-37.8074500,144.9907213
Heidelberg,City of Banyule,Northern,3084,-37.7524788,145.0701284
Ivanhoe,City of Banyule,Northern,3079,-37.7688774,145.0454487
Watsonia,City of Banyule,Northern,3087,-37.7109468,145.0837808
Greensborough,City of Banyule,Northern,3088,-37.7037383,145.1079105
Eltham,City of Banyule,Northern,3095,-37.7137360,145.1476730
Preston,City of Darebin,Northern,3072,-37.7418658,145.0078205
Reservoir,City of Darebin,Northern,3073,-37.7168415,145.0069944
Thornbury,City of Darebin,Northern,3071,-37.7549944,144.9985944
West Preston,City of Darebin,Northern,3072,-37.7378429,144.9956343
Fairfield,City of Darebin,Northern,3078,-37.7791763,145.0169241
Broadmeadows,City of Hume,Northern,3047,-37.6830526,144.9194859
Sunbury,City of Hume,Northern,3429,-37.5791363,144.7279832
Craigieburn,City of Hume,Northern,3064,-37.6022613,144.9430882
Roxburgh Park,City of Hume,Northern,3064,-37.6381563,144.9353302
Tullamarine,City of Hume,Northern,3043,-37.7046580,144.8717732
Brunswick,City of Merri-bek,Northern,3056,-37.7664715,144.9613103
Coburg,City of Merri-bek,Northern,3058,-37.7449752,144.9643314
Fawkner,City of Merri-bek,Northern,3046,-37.7146535,144.9605402
Glenroy,City of Merri-bek,Northern,3046,-37.7044232,144.9173351
Pascoe Vale,City of Merri-bek,Northern,3044,-37.7308567,144.9281950
South Morang,City of Whittlesea,Northern,3076,-37.6492441,145.0672450
Epping,City of Whittlesea,Northern,3076,-37.6523847,145.0315487
Doreen,City of Whittlesea,Northern,3754,-37.5963874,145.1428928
Mernda,City of Whittlesea,Northern,3754,-37.6025021,145.1009024
