input_row_index,source_url,business_name_hint,suburb_hint,service_hint,notes,http_status,final_url,domain,business_name,phone,email,website,address,resolved_suburb,resolved_council,resolved_region,suburb_id,council_id,resource_type,service_types,age_specialties,behavior_issues,duplicate_warnings,publish_readiness_warnings,publish_status,review_score
1,https://www.joniandco.com.au/,Joni & Co,Fitzroy,Puppy preschool; private training,,200,https://www.joniandco.com.au/,joniandco.com.au,Joni & Co,0390699907,,https://www.joniandco.com.au/,,Fitzroy,City of Yarra,Inner City,14,3,trainer,puppy_training|private_training|group_classes|obedience_training,puppies_0_6m,,,source looks like a veterinary business; confirm training listing scope,needs_review,95
2,https://jsvet.com.au/,Good Dog Behaviour,Fitzroy,Behaviour consultancy; private training,,200,https://jsvet.com.au/,jsvet.com.au,Good Dog Behaviour,0394163788,,https://jsvet.com.au/,,Fitzroy,City of Yarra,Inner City,14,3,behaviour_consultant,puppy_training|private_training|group_classes|obedience_training|behaviour_consultations,puppies_0_6m|senior_7y_plus|adult_18m_7y,,,source looks like a veterinary business; confirm training listing scope|trainer/service signal is weak in source copy,needs_review,95
3,https://hoochypoochy.com.au/premium-dog-training/,Command Dog Training (Hoochy Poochy),Abbotsford,Obedience; agility; puppy training,,200,https://hoochypoochy.com.au/premium-dog-training/?doing_wp_cron=1774856548.7432498931884765625000,hoochypoochy.com.au,Command Dog Training (Hoochy Poochy),0394283497,,https://hoochypoochy.com.au/premium-dog-training/,,Abbotsford,City of Yarra,Inner City,12,3,trainer,puppy_training|group_classes|obedience_training|behaviour_consultations,puppies_0_6m,,,,ready,95
4,https://www.ppah.com.au/,Port Phillip Animal Hospital,Albert Park,In-clinic puppy training,,200,https://www.ppah.com.au/,ppah.com.au,Port Phillip Animal Hospital,0396868838,info@ppah.com.au,https://www.ppah.com.au/,,Albert Park,City of Port Phillip,Inner City,7,2,trainer,puppy_training|group_classes|obedience_training,puppies_0_6m,excessive_barking,,source looks like a veterinary business; confirm training listing scope|trainer/service signal is weak in source copy,needs_review,100
5,https://www.richmondvetclinic.com.au/services/puppy-preschool/,Richmond Vet Clinic (Puppy Preschool),Richmond,Puppy preschool training,,200,https://www.richmondvetclinic.com.au/services/puppy-preschool/,richmondvetclinic.com.au,Puppy Preschool - Richmond Vet,03 9428 2220,"info@richmondvetclinic.com.au <br> While we endeavour to respond to emails promptly, please call us if your enquiry is urgent.  If all our lines are busy, please leave a message and we will return your call.",https://richmondvetclinic.com.au/services/puppy-preschool/,"9428 2220 259 Church Street, Richmond, VIC 3121",Richmond,City of Yarra,Inner City,15,3,trainer,puppy_training|private_training|group_classes|obedience_training|behaviour_consultations,puppies_0_6m|adolescent_6_18m|adult_18m_7y,socialisation,,source looks like a veterinary business; confirm training listing scope,needs_review,100
6,https://www.kensingtonvet.com.au/pet-advice/new-puppy/,Kensington Vet Clinic & Hospital,Kensington,Puppy school; behaviour training,,200,https://www.kensingtonvet.com.au/pet-advice/new-puppy/,kensingtonvet.com.au,Kensington Vet,03 9372 2733,care@kensingtonvet.com.au,https://www.kensingtonvet.com.au/pet-advice/new-puppy/,"45 Epsom Road, Kensington, VIC 3031",Kensington,City of Melbourne,Inner City,4,1,behaviour_consultant,puppy_training|group_classes|obedience_training|behaviour_consultations,puppies_0_6m|adult_18m_7y,dog_aggression|destructive_behaviour|anxiety_general|mouthing_nipping_biting|socialisation,,source looks like a veterinary business; confirm training listing scope,needs_review,100
7,https://dogshome.com/behaviour,The Lost Dogs’ Home,North Melbourne,Behaviour training; obedience,,200,https://dogshome.com/behaviour,dogshome.com,The Lost Dogs’ Home,0393292755,,https://dogshome.com/behaviour,,North Melbourne,City of Melbourne,Inner City,5,1,behaviour_consultant,puppy_training|private_training|group_classes|obedience_training|behaviour_consultations,puppies_0_6m|senior_7y_plus|rescue_dogs,separation_anxiety|excessive_barking|dog_aggression|jumping_up|destructive_behaviour|recall_issues|mouthing_nipping_biting|rescue_dog_support|socialisation,,source looks like a veterinary business; confirm training listing scope,needs_review,95
8,https://www.fourlegsk9trainingacademy.com.au/,Four Legs K9 Training Academy,South Melbourne,Behaviour; aggression; puppy training,,200,https://www.fourlegsk9trainingacademy.com.au/,fourlegsk9trainingacademy.com.au,Four Legs K9 Training Academy,0413 297 053,mattfourlegs@gmail.com,https://www.fourlegsk9trainingacademy.com.au,"38 Bank Street South Melbourne, VIC, 3205 Australia",South Melbourne,City of Port Phillip,Inner City,11,2,trainer,puppy_training|group_classes|obedience_training|behaviour_consultations,puppies_0_6m|rescue_dogs,separation_anxiety|excessive_barking|dog_aggression|leash_reactivity|anxiety_general|resource_guarding|mouthing_nipping_biting|rescue_dog_support,,,ready,100
9,https://melaniescottk9training.com/,Melanie Scott K9 Training,Balaclava,Puppy classes; behaviour; service dog training,,200,https://melaniescottk9training.com/,melaniescottk9training.com,Melanie Scott K9 Training,+61%20448%20395%20797,melanie@melaniescottk9training.com,https://melaniescottk9training.com/,,Balaclava,City of Port Phillip,Inner City,8,2,trainer,puppy_training|private_training|group_classes|obedience_training|behaviour_consultations,puppies_0_6m|senior_7y_plus|adult_18m_7y,excessive_barking|dog_aggression,,,ready,100
10,https://dogshq.com.au/,Dogs HQ,Abbotsford,Puppy school; socialisation,,200,https://dogshq.com.au/,dogshq.com.au,Dogs HQ,<p>Abbotsford (03) 9415 8885</p> South Melbourne (03) 9043 4927,<p>abbotsford@dogshq.com.au</p><p>southmelbourne@dogshq.com.au</p>info@dogshq.com.au (for general enquiries),https://dogshq.com.au/,"86-88 Hoddle Street, Abbotsford, Victoria, 3067",Abbotsford,City of Yarra,Inner City,12,3,trainer,puppy_training|group_classes|obedience_training|behaviour_consultations,puppies_0_6m|adult_18m_7y,socialisation,,,ready,100
